未だしも,まだしも,"rather, better"
仕掛ける,しかける,"to start, to begin, to commence; to challenge, to pick (a fight), to make (war); to set (traps), to plant (explosives), to lay (mines); to make a meld call"
焚き付ける,たきつける,"to kindle, to build a fire; to instigate, to stir up, to incite"
尤も,もっとも,"but then, although, though; reasonable, natural, just"
何れにしろ,いずれにしろ,"anyhow, at all events, in any case, either way, anyway"
猶予,ゆうよ,"postponement, deferment, extension (of time)"
虐殺,ぎゃくさつ,"atrocity, massive killing"
溜まる,たまる,"to collect, to gather, to save, to accumulate, to pile up"
境内,けいだい,"grounds (esp. of shrines and temples), compound, churchyard, precincts"
はめ込む,はめこむ,"to inlay, to insert, to set; to plug in (to a formula), to immerse; to trick, to deceive"
見立てる,みたてる,"to select, to choose; to diagnose (an illness), to judge; to liken to something else, to regard as something else (e.g. to use another person as a mirror); to see someone off; to look after, to be (someone's) guardian; to underrate, to look down on, to underestimate (someone)"
短髪,たんぱつ,short hair
鬱陶しい,うっとうしい,"gloomy (e.g. mood), depressing; irritating, troublesome; heavy (weather), cloudy"
生き残る,いきのこる,to survive
風雪,ふうせつ,"wind and snow, snowstorm, blizzard; hardships"
思う,おもう,"to think, to consider, to believe, to reckon; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to be (in a state of mind), to desire, to want; to recall, to remember"
業者,ぎょうしゃ,"trader, dealer, businessman, vendor, supplier, manufacturer; fellow trader, people in the same trade"
墜落,ついらく,"fall, crash (e.g. aircraft)"
能天気,のうてんき,"laid-back, carefree, easygoing, thoughtless, happy-go-lucky"
推す,おす,"to recommend, to endorse (e.g. a candidate), to nominate; to infer, to conclude, to conjecture, to surmise; to think something through, to ponder deeply"
登場,とうじょう,"entry (on stage), appearance (on screen); entrance, introduction (into a market)"
生い立ち,おいたち,"growth, development; one's early life, upbringing, personal history"
深掘り,ふかぼり,"digging deeply (below the surface); probing deeply (issue, problem), investigating thoroughly"
発展途上国,はってんとじょうこく,developing country
投稿,とうこう,"contribution (to a newspaper, magazine, etc.), submission, post (on a forum, blog, etc.)"
馴染む,なじむ,"to become familiar with, to fit in, to adapt oneself, to get used to, to grow accustomed to"
意気投合,いきとうごう,"hit it off with (a person), find a kindred spirit in (a person), sympathy, mutual understanding"
年功序列,ねんこうじょれつ,seniority by length of service
回す,まわす,"to turn, to rotate, to spin, to twist, to gyrate; to pass around, to send around, to hand around, to circulate; to move (someone or something to where its needed), to send, to bring, to transfer, to forward, to direct, to submit; to turn (to a new use), to use (for something else); to turn on (something that turns or has a rotating part, e.g. a washing machine), to start up (e.g. an engine), to give (something) a spin; to put (someone in a position), to make (e.g. an enemy of); to ... around (e.g. chase, fool, play), to do all over, to do everywhere, to do completely; to surround (something) with, to enclose with; to put (an arm) around (e.g. someone's waist), to reach around; to invest (money), to lend; to dial (a telephone number); to gang-rape"
,ぐっと,"suddenly, at once, in one go, with a jerk, with a gulp; considerably, very much, a lot; firmly, with an effort, tightly, exerting pressure; completely (e.g. at a loss); deeply (e.g. moved)"
